"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","France (FR)","United Kingdom (GB-CTY)","3372.32"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","Belgium (BE)","France (FR)","672.53"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","Germany (DE)","France (FR)","794.22"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","France (FR)","Italy (IT)","1350.33"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","France (FR)","Spain (ES)","1553.89"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","France (FR)","Switzerland (CH)","795.62"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","France (FR)","United Kingdom (GB-CTY)","3365.50"
"01/01/2026 16:00:00 - 01/01/2026 17:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","Belgium (BE)","France (FR)","1468.94"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","Germany (DE)","France (FR)","1142.47"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","France (FR)","Italy (IT)","1246.51"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","France (FR)","Spain (ES)","1809.79"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","France (FR)","Switzerland (CH)","418.39"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","France (FR)","United Kingdom (GB-CTY)","3560.71"
"01/01/2026 17:00:00 - 01/01/2026 18:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","Belgium (BE)","France (FR)","1591.25"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 18:00:00 - 01/01/2026 19:00:00","Germany (DE)","France (FR)","1401.09"
