"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Poland (PL)","2044.89"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Sweden (SE)","Germany (DE)","216.88"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Switzerland (CH)","3768.09"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Austria (AT)","2494.20"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Belgium (BE)","844.20"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Belgium (BE)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Czech Republic (CZ)","1715.84"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Denmark (DK)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Denmark (DK)","Germany (DE)","525.43"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","France (FR)","1277.85"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Luxembourg (LU)","319.66"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","Germany (DE)","Netherlands (NL)","836.12"
